geneIDs	disper	pval	padj	TEB	TEA	log2FC_TE(A vs B)	
KIAA2026	0.05376771700735967	1.6487256004893425e-11	2.1130067295871413e-07	0.024463387001417654	0.18404347309401886	2.911350520366723
QSER1	0.036280657204284396	3.690681094070669e-11	2.3649884450804848e-07	0.04608320002566483	0.23397919125864872	2.3440674242778248
MED13	0.029061687719246745	4.814792231577769e-09	2.0100666603184436e-05	0.06907238644501558	0.22699986869173522	1.716510488375318
PAXBP1	0.030453210138024957	6.273616293128725e-09	2.0100666603184436e-05	0.05712421686580822	0.20107595364709407	1.8155661753071781
DMTF1	0.05038316584155367	1.0850870535428214e-08	2.78129513564096e-05	0.0396117547919301	0.1925002176344034	2.2808595580315583
CCNT2	0.05923871858372188	2.0945311263176336e-08	4.4739184858144654e-05	0.02176726875709492	0.12101097852374006	2.474905637417773
NIPBL	0.040494078757925704	2.4440861334795727e-08	4.474772555239172e-05	0.11464065620571683	0.4327287812125844	1.9163443062474188
KMT2E	0.06067040289631594	1.1164538005203894e-07	0.0001788558988433664	0.07033944038885974	0.3322648515839772	2.23992792433394
BRWD3	0.07842445123233462	1.4561493211218135e-07	0.00020735566332774624	0.04116203541630295	0.25092287372975375	2.6078577617715
C6orf62	0.08085184642701339	1.7236021865318918e-07	0.00022089685622592726	0.006393649794568815	0.04030510941524344	2.6562511092303387
USP34	0.05380399202150614	2.6470131320177614e-07	0.0003084010936358148	0.07552583342047893	0.30938987714029814	2.0343838901777573
SOS1	0.029465086577208477	2.941857029092887e-07	0.0003141903307071203	0.062237765225016166	0.1841714616873401	1.5651873623175026
RLF	0.04514425447666451	4.877892316734744e-07	0.00048088513793286523	0.10536975071447002	0.3840407514735519	1.8657986457420308
SREK1	0.03600266710360084	5.620589812460608e-07	0.0005145248502606796	0.05905550245086287	0.18705587223935136	1.6633258640867492
TRPM7	0.07839978653630816	7.04660300998583e-07	0.000564432901099865	0.03584767235467902	0.18827507766893267	2.3928906896569173
PIK3CA	0.059355137830620755	6.733607326170343e-07	0.000564432901099865	0.09424560455643019	0.40242094965079617	2.0942081720358305
ZBTB44	0.045895465029008875	8.779119290425186e-07	0.0006250732934782732	0.026913455225229088	0.0999667329093529	1.8931204522473126
ZFC3H1	0.06784521270819739	8.384208990408482e-07	0.0006250732934782732	0.10932759615010544	0.5024331459438769	2.200274035378859
DICER1	0.022997979040229242	9.570252230695075e-07	0.0006455386978346741	0.09536315728459084	0.2314576806109639	1.2792445308446196
CEP295	0.08212472368376585	1.0501526190864752e-06	0.0006729377983106133	0.07239356275945347	0.39369303037693126	2.4431378488338726
SSFA2	0.07531862276221969	1.1526641471304444e-06	0.0007034544623630369	0.03262950740341165	0.1771050797386352	2.4403564793200023
CLOCK	0.07576100095826978	1.3245144118156915e-06	0.0007715898500831774	0.02040294417389515	0.11027271334450733	2.4342265892059682
PDZD8	0.06157709050165718	1.5765289005376104e-06	0.0008596415508779209	0.03888785127570182	0.17092757794070615	2.1359937574476406
IFT80	0.08055197897834343	1.6098156383481665e-06	0.0008596415508779209	0.027874164671516887	0.16812734412732633	2.5925539063461454
NOL8	0.05439208788450641	1.7729270477273573e-06	0.0008884458781613837	0.09400186553196681	0.3559752105034425	1.9210154844411622
NUDCD3	0.031375892846887056	1.8024026866569898e-06	0.0008884458781613837	0.12254849713102316	0.04435763669272699	-1.4660983838088062
TTC3	0.11037571075905415	2.0070000684713207e-06	0.0009526560325010536	0.035254652837121335	0.23491397432743238	2.736246958365297
PRPF4B	0.030637318003266415	2.4468125150445275e-06	0.0010452783064270222	0.09973981902931671	0.26571282409646035	1.4136263678386614
MBD5	0.08789060971095193	2.4394560419471745e-06	0.0010452783064270222	0.020950486736543875	0.14245372787542016	2.765437708941476
ZMAT1	0.1384186914614929	2.3893998930546445e-06	0.0010452783064270222	0.01902919726290149	0.19392352111543731	3.3492011908730643
ZDHHC17	0.04163340646620983	2.7271976286158406e-06	0.0011274762841400198	0.06778331316058073	0.22026088370280217	1.70021124775749
ANKRD36	0.10510078975187334	3.1791236456690797e-06	0.0012346560194816645	0.0725333700080499	0.4689490640301341	2.6927144443144213
