baseMean log2FoldChange lfcSE stat pvalue padj
A1BG 284.06913439931 -0.128961423659383 0.641544478207016 -0.20101712046498 0.840685187109393 0.989133059435958
AAAS 119.968121494657 -0.0280890109669633 0.61761743468162 -0.0454796276621355 0.963725012864447 0.993322888964188
AACS 74.7352058620948 0.063074543001693 0.613236917564931 0.102855097589611 0.918077975550137 0.993322888964188
AADAT 39.7289020597331 0.393520363535649 0.682953320766586 0.576203895009895 0.564477372806043 NA
AAED1 26.0623426036506 -0.412343447045997 1.23952421298944 -0.332662680345325 0.73938892328758 NA
AAGAB 124.258734450433 -0.0856166171900409 0.474850553389618 -0.180302237364757 0.856915299293822 0.989133059435958
AAK1 247.816571837311 -0.191751164582899 0.363874946113268 -0.526969956659808 0.598214451805899 0.98655347218636
AAMDC 38.1394915373449 0.40677994342017 0.711347589255133 0.571844130161625 0.567427577202381 NA
AAMP 249.824378272529 -0.940427637486442 0.421769107289074 -2.22972147849105 0.0257659390621152 0.594970544931539
AAR2 77.6128012607051 0.860737328738538 1.01261752057803 0.850012281287812 0.395318258256236 0.968427133034707
AARD 53.107102322506 -0.532030366235812 0.838038831081236 -0.634851687659136 0.52552514887737 0.985864691629559
AARS 691.936418305884 0.0814793129349932 0.371011858996731 0.21961376963886 0.826171966584814 0.989133059435958
AARS2 106.72335661147 0.0392769538372126 0.709296084934302 0.0553745532669205 0.955840068275375 0.993322888964188
AASDH 25.1318863083861 0.517531325412133 0.932576144828376 0.554948063256942 0.578930185458424 NA
AASDHPPT 95.4661275354585 -0.75316582124435 1.02469270073491 -0.735016284105646 0.462329576831501 0.979531165002013
AASS 71.6827998448371 0.0647459762865625 1.10467105948777 0.0586110912660145 0.953261876319041 0.993322888964188
AATF 355.984394853018 0.114086461631884 0.332427652235549 0.343191852015505 0.731454134020836 0.989133059435958
ABCA12 3.37136293622212 2.13123316230239 2.24309021932328 0.950132608997491 0.342044875827702 NA
ABCA13 25.1824342325611 0.448210505889983 0.862761688386149 0.519506732766947 0.60340741905093 NA
ABCA2 52.7748316929654 0.404657302022428 1.07192116287373 0.377506589139054 0.705797168587198 0.989133059435958
ABCA3 3.40101283669092 0.180740432095042 2.60722401912318 0.0693229391756777 0.944732566836562 NA
ABCA5 18.8719098682322 0.817812128400021 1.05827111608271 0.772781299585334 0.439651822457154 NA
ABCB1 22.031975861166 1.66063924424284 1.71842736115201 0.966371510245025 0.333858314729016 NA
ABCB4 38.8702759858343 1.84547156578075 1.01966396299029 1.80988211093455 0.0703140708578922 NA
ABCB5 43.6402903010724 0.812115109865598 1.41364485018746 0.57448312407314 0.565640917245054 NA
ABCB6 44.1076437776341 0.178424001975161 0.969800768620856 0.183980058325687 0.854029099027755 NA
ABCB7 61.6699750792907 0.985063399553122 1.10177101416183 0.894072712833623 0.371282987975877 0.959002020924457
ABCB8 23.8633013778741 1.238543015718 1.24022665678077 0.998642473088642 0.317967917326211 NA
ABCB9 124.48039487467 -1.37718946954641 1.10588319778275 -1.24532995194033 0.213010490144401 0.904169734680732
ABCC1 100.070140998851 -0.18014459371563 0.824706930796652 -0.218434679021812 0.827090447883386 0.989133059435958
ABCC10 50.0244746641965 -0.882171725609383 0.666390542777418 -1.32380589006053 0.185567519474282 0.892504115994147
ABCC4 70.1242177582402 -1.52003729582068 0.945863094446467 -1.6070373236311 0.108046180835168 0.809494435093526
ABCC5 40.6179298376685 -0.943279885625453 0.770710241407443 -1.22390988849826 0.22098622287615 NA
ABCC6 20.032420667359 -0.961459242360327 1.42161105319948 -0.676316662139383 0.498839616092527 NA
ABCC9 691.620843227552 0.918685827765776 0.482925165440117 1.90233579343194 0.0571272691175064 0.711557885232389
ABCD1 13.5078255350745 0.0911063800401196 1.26583092089942 0.0719735776207654 0.942622935307379 NA
ABCD3 95.1708181517647 0.266015127700637 0.646624868726092 0.411390190149522 0.680786445939111 0.989133059435958
ABCD4 52.5266104398339 -0.574179144954331 0.603037238092251 -0.952145421020409 0.341023236338701 0.949481835575659
ABCE1 339.437742890354 -0.134577318076595 0.54218286826707 -0.248213888621625 0.803968920978112 0.989133059435958
ABCF1 400.257831448693 0.276413659490028 0.369121896303077 0.748841134211857 0.453952963734497 0.979531165002013
ABCF2 115.550251607958 -0.978497401393002 0.594340716021302 -1.64635767837573 0.0996901409483784 0.802991247303119
ABCF3 100.593836860786 -0.804148499404482 0.575759124333153 -1.39667521610856 0.162511260319709 0.872345892149002
ABHD10 55.0489834330477 -0.318929093123481 1.05915349764247 -0.301116971084336 0.763325300208318 0.989133059435958
ABHD11 57.5798532556266 0.180797907730031 0.599906313300994 0.301376904562293 0.763127103595845 0.989133059435958
ABHD12 129.010599726702 0.803216078263282 0.375372747269775 2.13978261369631 0.032372338928803 0.64398241289393
ABHD13 18.0059301416288 3.83378512950063 1.62459118021172 2.35984608078508 0.0182825188897107 NA
ABHD14A 52.500421312124 0.741362112137529 0.56901141221723 1.30289497929174 0.192610618253827 0.896652916175647
ABHD14B 37.7864748618806 -0.237630347692905 0.889416743225622 -0.267175482700154 0.789334052182391 NA
ABHD15 21.4032513572972 0.849258623325176 0.914560194883907 0.92859784197472 0.353097540673948 NA
ABHD16A 117.890631567482 2.11789225838223 0.481094611058273 4.40223650338436 1.07140672166715e-05 0.00963328568618978
ABHD17A 30.628247130726 0.0780957455171789 0.696385938097943 0.112144345893146 0.910708956231647 NA
ABHD17B 56.2603566764267 -0.737134169549837 0.56565489131739 -1.30315176420216 0.192522954150307 0.896652916175647
ABHD2 669.493708072143 -0.411291518194453 0.264447760271569 -1.55528455893174 0.119878313174404 0.823770194406991
ABHD4 18.2094314718904 -0.931189008741054 1.37654894132584 -0.676466328791892 0.498744617086966 NA
ABHD5 28.5092684668442 -1.50046709492947 1.27027342945513 -1.18121583915446 0.237516990617106 NA
ABHD8 302.381726114471 -0.50081049651402 0.351338788238108 -1.42543468947873 0.154031586521672 0.864195670564973
ABI1 495.685606782406 -0.216972952860912 0.595242633425588 -0.364511781712014 0.715475877551789 0.989133059435958
ABI2 392.856307800291 0.174547056265202 0.345447206623963 0.505278528580505 0.613363221360708 0.986891266028225
ABI3BP 35.6818331852599 -2.79170807238513 1.03531864594364 -2.69647232117667 0.00700782213443133 NA
ABL1 207.487851514554 -0.648287073180758 0.438429846420819 -1.47865634256686 0.139232186012142 0.841594213433059
ABL2 168.334047999769 0.163114018896509 0.42814611017974 0.380977463109573 0.703219971553375 0.989133059435958
ABLIM1 9.71814768187605 0.130348686364241 1.25563207557583 0.103811211022515 0.917319169433501 NA
ABLIM3 65.2014313447656 1.136886525593 0.50346061770312 2.25814390563395 0.0239366891094025 0.581677718797069
ABR 290.489103171566 0.543677503222398 0.461207002471355 1.17881450261841 0.238472048158311 0.910164124961529
ABRACL 44.9921103335213 -0.501382871791158 0.856238531632549 -0.585564481471296 0.558168222854525 NA
ABT1 58.5945150123755 -0.646647858969146 0.680020412660703 -0.950924188347552 0.341642861932358 0.950652652177738
ABTB2 290.149711107535 0.363496968463249 0.339112023491485 1.07190822879324 0.283761253823855 0.92995947920628
ACAA1 62.5707434211891 -0.172072774032072 0.915696943195996 -0.187914544556082 0.850943640941853 0.989133059435958
ACAA2 61.2212994472743 -1.82977173201452 0.949477869543433 -1.92713468181663 0.0539628475564556 0.711557885232389
ACACA 286.21171254284 0.0979835963814774 0.537615891728873 0.182255766410439 0.855382010511736 0.989133059435958
ACACB 12.8399522483375 0.085660007909108 1.05207172209956 0.0814203120469403 0.935107696060493 NA
ACAD10 15.7613243975474 -0.491959150904205 1.34974430495868 -0.364483220337993 0.71549720158336 NA
ACAD11 76.4299807099799 -0.857546113379262 0.554913930273566 -1.54536778876051 0.122257327032266 0.825817118507501
ACAD8 27.2153493507661 0.116432234187446 1.41030541743881 0.0825581698458578 0.934202863305219 NA
ACAD9 98.6591506189311 0.320790285527882 1.10321882806589 0.290776659504874 0.771222137415336 0.989133059435958
ACADM 112.134294042868 0.259991757941229 0.682655291199532 0.380853647943434 0.703311848502704 0.989133059435958
ACADSB 434.465406236484 -0.21105958615868 0.276118326990013 -0.764380939358341 0.444640264097426 0.979531165002013
ACADVL 492.440606528402 -0.60228512460273 0.288171905795942 -2.09002027084908 0.0366159788207475 0.659564417769899
ACAN 10.2852722855351 -1.41501149126592 1.85156394463355 -0.764225019269305 0.444733159369424 NA
ACAP1 54.2298786041533 -0.810424958343803 0.722036327479458 -1.12241576704721 0.261685703653958 0.920320423744967
ACAP2 144.965955930532 0.251052723962554 0.532710494994447 0.471274221780014 0.637444921780087 0.989133059435958
ACAP3 28.605641380269 0.0346511306317185 1.06327174920154 0.0325891576238525 0.974002216202014 NA
ACAT1 188.351105952004 -0.206696891840397 0.631961362312965 -0.327072039790361 0.74361339882176 0.989133059435958
ACAT2 6163.97037113703 0.441862945082968 0.539120833394509 0.819599091173738 0.412444691920366 0.973581116729676
ACBD3 102.584701424488 -0.490366012495659 0.549812135402243 -0.891879209135511 0.37245767964142 0.959002020924457
ACBD4 49.1241120126091 -0.679109466651622 0.632129496705727 -1.07432016729282 0.282679209197464 0.929384259797548
ACBD5 92.0557633907716 -0.559478321230228 0.482216766088761 -1.16022162764711 0.245958583605874 0.916473936353862
ACBD6 19.5550820772617 1.16752563527321 1.22981074945608 0.94935390326486 0.342440646820495 NA
ACBD7 155.684068066542 -0.923417354792267 0.662628994746014 -1.39356617672037 0.163448648267916 0.872610493722573
ACD 131.939818601434 -0.285909588580777 0.57054883211268 -0.501113265839288 0.61629141113837 0.986891266028225
ACHE 6.91632497336352 -1.38051720364412 1.49918790230189 -0.920843345603606 0.357132220898181 NA
ACIN1 1220.25314845322 -0.00813848632825907 0.236960182239049 -0.0343453750387855 0.972601742146787 0.995443706890494
ACLY 1005.65536360993 0.448667532480204 0.39560577666566 1.13412785895538 0.256740919225987 0.916605284770827
ACMSD 35.7744174711124 3.53372548056676 1.66345286744879 2.12433159346822 0.033642425678705 NA
ACO1 138.456495488038 -0.40902652411447 0.424624240628223 -0.963267013464242 0.335413542716211 0.947243664215826
ACO2 2882.53762852315 -0.236792050560406 0.393277089308483 -0.602099784090571 0.54710771824896 0.985864691629559
ACOT1 84.5243906056845 -1.54366261057546 0.57894996064176 -2.66631438900925 0.00766879401001321 0.419579251209618
ACOT13 1551.51740896441 0.604106193035691 0.679062252466547 0.889618279975665 0.373670887290706 0.959002020924457
ACOT2 624.324234870233 -0.684691986919542 0.354638754827953 -1.93067446126047 0.053523323107364 0.711557885232389
ACOT7 231.384673257165 -0.511307845944538 0.542027059288476 -0.943325314082542 0.345514531650704 0.952294203125963
ACOT8 831.683095371105 0.208714854593981 0.323114917808882 0.645946203936745 0.518314195486373 0.985864691629559
ACOT9 93.6733514842279 0.314242556398869 0.675146439856275 0.465443550980976 0.641613852462884 0.989133059435958
ACOX1 464.461080871022 -0.53249847983725 0.329778176525897 -1.61471715759649 0.10637196022014 0.809494435093526
ACOX2 44.0759906280538 0.324325598972638 1.35424795007371 0.239487605615341 0.81072750616632 NA
