geneIDs	disper	pval	padj	TEControl	TETreated	log2FC_TE(Treated vs Control)	
CSDE1	0.0220945584909045	0.0	0.0	5.246420489473897	64.90183994108418	3.6288540323320184
MTMR3	0.023817074268247914	2.220446049250313e-15	9.883205365213144e-12	4.287552363790431	84.36510087009619	4.298420129669149
EIF4A2	0.01428429860249533	5.98021743236643e-10	1.7745298527641986e-06	19.81516660169846	66.45925116287549	1.745864940162705
AZI2	0.022208701037462163	3.0889795810118414e-07	0.0006874524057541853	3.5004379006868644	18.674791224795257	2.415484796544248
VKORC1	0.018748487413374582	5.549393425896554e-07	0.0009880140055466226	72.16888567482746	1120.2596925946086	3.956312419682428
ABHD16A	0.0238584619880879	1.7718680764833294e-06	0.0026288616028090996	8.137000410868168	38.876325972963315	2.256322914096314
WIPI1	0.018418095496566634	4.897381395529976e-06	0.006228069883286835	7.672981108903737	2.4697530546434945	-1.635420405937343
SERPINE1	0.01220727066175359	8.341912705267518e-06	0.00928246336278643	117.2869925683835	356.86467532633463	1.605334077955833
EIF4G2	0.012918131494864735	1.0482803249889372e-05	0.010368657170057242	43.49524910721632	102.79315572465002	1.2408144765903177
TRMT112	0.012162726928943993	1.2417128185893134e-05	0.011053727511082068	6.3296941467071965	3.110594301818912	-1.0249455456077765
RAB8B	0.02020319418399387	1.948736794765704e-05	0.015770595406367546	55.146352717122056	12.890786097069746	-2.0969252278357566
TIMP2	0.013682114914803674	2.201199556883804e-05	0.016329232046149684	49.8922983718047	124.92281339766448	1.3241479297596195
LATS2	0.018138135929128857	3.6289387365884274e-05	0.02484985587162322	23.9018334598261	7.125009894145272	-1.7461573659030059
KIF13B	0.022730024243592047	5.3618457954374144e-05	0.03045716502318118	24.822792981140587	99.02591505340317	1.9961406754544058
PSAP	0.01600970281339856	5.8163536889921374e-05	0.03045716502318118	191.31623301300525	459.95916772683455	1.2655465032152726
HEG1	0.02079436435325772	5.3945449238868015e-05	0.03045716502318118	17.688333816120277	48.768036745497795	1.4631377377607597
H1F0	0.011274394018701438	5.76382394571473e-05	0.03045716502318118	7.945136249603886	4.165601088754872	-0.9315472713687938
TUBGCP6	0.020468256593096246	8.235831996339371e-05	0.034912084014958614	53.37175753401869	12.182227038777127	-2.131298622983534
FAM122A	0.031557624335503937	7.68469464488275e-05	0.034912084014958614	11.250480780842858	100.58027528845369	3.1602888468336174
PAPPA	0.012387159931005464	7.931692191298634e-05	0.034912084014958614	30.627481965002804	87.74137671631043	1.5184305825083326
HK2	0.013874512805609609	7.60601673522876e-05	0.034912084014958614	6.432758084054038	3.1649984373390208	-1.0232326470997823
DCBLD2	0.01130521572055096	8.697386042300081e-05	0.03519278661297969	90.0341635790332	178.27998894163173	0.9856003336457348
HMMR	0.03765665393867693	9.4367662361039e-05	0.036524388275563875	47.657787786337266	385.0809411430571	3.0143778312909246
DLC1	0.023363603514058442	0.00010885310788288916	0.038760414654939165	63.064837182977236	351.38885439991094	2.4781606950476744
DUSP4	0.012573310295747202	0.00010734048734806212	0.038760414654939165	166.5896514357569	58.9106975155053	-1.499697243102088
PIAS4	0.02179178654142184	0.00012559066969042298	0.04300031313785175	65.83876750024827	412.2766260353545	2.6466034362373865
FDFT1	0.0204215895006191	0.00014719616481351228	0.04853112070999579	104.53070675498172	294.85663292026044	1.4960868404362904
API5	0.009995730714464968	0.00015896808328941248	0.050540495622941065	51.69568972494804	131.33656930447776	1.3451527737574862
WDR90	0.0912841059433252	0.00018786468397624656	0.05080763071944869	353.73569333090563	15.030568034947894	-4.556700362319644
BCAR3	0.019717205278282593	0.00017785775311474072	0.05080763071944869	132.1006352615519	35.36930246249124	-1.901067732160322
PLXNC1	0.29545481790998085	0.00018637662632547958	0.05080763071944869	0.2383990534538163	0.01800257645425296	-3.7271032087066596
DNAH14	0.05339383547031469	0.00018834551940483113	0.05080763071944869	3.1197151408237254	29.52894121089744	3.2426434194950517
DHX40	0.012124018509396152	0.00016955571044352524	0.05080763071944869	34.61834924824498	111.00804409288038	1.6810553863404332
TARS	0.015010633112083867	0.00019969560918720042	0.05228500920542524	77.60444030936584	182.92784539670475	1.2370635929206761
TGFBI	0.017097421328615765	0.0002162215239059906	0.054994400166032235	95.31232666127583	195.52734724249595	1.0366356889617734
LOXL2	0.0073875278061292906	0.00023115503397230786	0.05715950312281901	87.02322877368997	164.75063134867628	0.9208115433806325
HIST1H1E	0.02664843538122922	0.0002450403505479537	0.05895538379940226	9071.241941766557	1891.7772407694818	-2.261557863880425
DUSP10	0.03415576733728262	0.00026006673625600385	0.060924054898709105	72.1769703606299	299.58127662025856	2.053336968067711
TCAF1	0.03132521594669927	0.00026814364861527107	0.06120550666597802	28.56043131681166	98.56490496332171	1.7870562848241223
CEP41	0.017603835589588338	0.00029029550452552844	0.06460526453215636	20.80777251728255	134.48060737917703	2.692203708398999
SMC6	0.019001026416039853	0.0003109452707151794	0.0675130439001592	78.50114924548305	765.0496934994844	3.28476778041472
PTPRF	0.01605798406389682	0.00034326168672882407	0.07275513179190457	61.94509425567038	162.4500333978728	1.390934102560684
AKAP12	0.031411546382958656	0.0003550058196312156	0.07349446061295538	43.33972141369183	110.32025859843853	1.3479359587694395
RHOJ	0.0511177462592425	0.00039597048178063865	0.0801120279275283	9.223123457324247	102.20369427448598	3.4700481255644466
DGKE	0.09131187784354512	0.00040938510080512636	0.08098547038593855	0.9257281061104103	0.11117147215312069	-3.0578019005864534
MAST2	0.0115031277136188	0.00042061716132280047	0.081398564567295	6.708597297054734	15.202095509895553	1.1801871540337237
MAP1B	0.012060607811875377	0.0004349383490980241	0.08237917412065128	113.08177643059189	225.03855638921192	0.9928057508546138
FOXC2	0.022207595401786143	0.00048569811409882035	0.09007676274391038	13.040084090919601	4.6455223595037225	-1.4890404402902209
TOP2B	0.01064033665664316	0.0005013469286276884	0.09108143589068737	82.61885158699916	196.9582704999872	1.2533470868228056
CIT	0.013329230112692991	0.000524786919463005	0.09343306314119341	55.049276921223914	162.63345667387648	1.5628285576207661
ARSG	0.08965163422404122	0.0005752505668085162	0.10040942246528257	98.71523240105986	3.716470853630134	-4.731267520209597
IDI1	0.01288248434739809	0.0005911402447740244	0.10119866267266087	27.167541630452416	63.7627070345074	1.230828856869982
UHMK1	0.014600189349351618	0.0006787418174114546	0.11400301242635413	18.044029592616567	47.49912769672871	1.3963794619211614
KCNE4	0.2069753995604601	0.0007350859266110898	0.11519966937151177	0.27380743530391566	0.03796108898937268	-2.8505683392003602
PNKP	0.027437967535873947	0.0007242877012453297	0.11519966937151177	43.61129404435507	201.20990879102564	2.2059276497626135
ACVR2B	0.04683698418475341	0.0007625865775240381	0.11519966937151177	2.2472543792919244	11.681391283880815	2.3779767675634167
PSMG4	0.022192369327193328	0.0007635116258053465	0.11519966937151177	187.4880984589762	40.730955962724835	-2.20260143764102
TTC17	0.03303059835836259	0.0007372326426225984	0.11519966937151177	58.87073667211794	389.78711756938804	2.7270638245641674
WDR36	0.030676557276193374	0.0007527886901680381	0.11519966937151177	250.74883810476956	3756.790482515196	3.905185737681788
RBM14	0.04962415342961819	0.0007797331541704589	0.11568640897375708	270.89163909037404	3707.816904688963	3.774782232738726
SLC44A1	0.00988214414784822	0.000891918979504247	0.12239794260557635	72.93303850774895	246.45294438600695	1.7566678116144754
DHCR7	0.009777621179507664	0.0008769842377713832	0.12239794260557635	179.61611728228607	857.8294582683491	2.2557740481038016
FLG	0.038273561565752394	0.000866314811296065	0.12239794260557635	0.0166921269783061	0.04825925688745282	1.531637900164017
SNX9	0.016259270770963622	0.0008778038771214414	0.12239794260557635	588.0904277608994	63.41468794787434	-3.213149070693019
KIAA0513	0.06017634791869177	0.0008937167231366505	0.12239794260557635	2.037194779060374	14.293179456446738	2.8106710433402484
SORT1	0.01157998313663373	0.0009173836653618705	0.12373559680380866	41.7365553838055	125.73666985218394	1.5910220173130876
AKT1S1	0.00813257676039412	0.0009506545135541389	0.1263093504426708	9.118455603516214	5.237130253490174	-0.8000130085138961
SMARCA1	0.04726242068376124	0.001110000016942836	0.13617148197464388	51.164140055745705	763.6160494021382	3.899642512287664
PGAM5	0.01156037755438947	0.0011166612204166482	0.13617148197464388	57.308383051650445	26.0285096370755	-1.138653484354606
RTKN	0.013191671477060341	0.001109764644721456	0.13617148197464388	77.4325032562256	1023.5714472607352	3.7245287158541442
PTPRS	0.03061635394508358	0.0010714888136849066	0.13617148197464388	64.00666660509232	209.18736457632448	1.7085016301962197
CADM1	0.03622936232103221	0.001090780691717308	0.13617148197464388	41.704419937328865	208.87613246456837	2.324375452907427
