GENES	XTAIL	BABEL	RIBOREX	RIBODIFF
A1BG-AS1	NA	0.09447874	NA	NA
AAAS	0.018543917	NA	NA	NA
AAMP	0.000812835	NA	0.032492057	NA
AAR2	0.000486447	NA	0.005687182	0.019119822
AATF	0.023131465	NA	NA	NA
ABCA11P	NA	0.066111404	NA	NA
ABCA5	0.001305266	NA	0.012799949	0.02180795
ABCD2	0.002578363	NA	NA	NA
ABCF3	0.00026509	NA	0.012786639	0.03476415
ABHD17A	0.007979549	6.6E-05	NA	NA
ABI2	0.012829542	NA	NA	NA
ACAD11	0.022529305	3.54E-06	NA	NA
ACAP2	0.025541058	NA	NA	NA
ACE	0.007859116	NA	NA	NA
ACLY	0.004081764	NA	NA	NA
ACOT1	NA	0.097864457	NA	NA
ACOX1	0.001952742	NA	0.020428177	NA
ACP2	0.030288903	NA	NA	NA
ACTA2	0.043112119	NA	NA	NA
ACTG1P20	NA	0.043479773	NA	NA
ACTN3	0.029424833	NA	NA	NA
ACTR1A	0.005223912	NA	NA	NA
ADAM1A	NA	0.096948094	NA	NA
ADAT2	0.016458268	NA	NA	NA
ADI1	0.005388249	NA	NA	NA
ADGRE4P	NA	0.00563186	NA	NA
ADORA2A	NA	6.6E-05	NA	NA
AFG3L1P	NA	0.000388983	NA	NA
AGAP4	0.006920597	0.026153023	NA	0.048174213
AGAP5	0.046556391	NA	NA	NA
AGAP6	0.001355618	NA	0.010258866	0.012470147
AGGF1	0.00109104	NA	0.03948172	NA
AGL	0.005434226	0.033917652	NA	NA
AGO4	0.032527664	NA	NA	NA
AGTPBP1	0.000109092	NA	0.007576777	0.013034731
AHCTF1	0.014044359	0.018821797	NA	NA
AHCYL1	0.016458905	NA	NA	NA
AHSA1	0.001450965	NA	NA	NA
AIDA	NA	0.018764086	NA	NA
AIF1L	0.000954067	NA	NA	NA
AK1	0.00674516	NA	NA	NA
AK2	0.012829542	NA	NA	NA
AK9	0.02276048	NA	NA	NA
AKAP11	0.025716236	NA	NA	NA
AKAP17A	NA	0.000276076	NA	NA
AKAP9	3.44E-05	0.015347725	NA	NA
AKIRIN2	0.015560244	NA	NA	NA
AKR1B1	0.013872747	NA	NA	NA
AKR1B10	0.041650951	NA	NA	NA
ALAS1	0.005051246	NA	NA	NA
ALDH18A1	0.000996426	NA	NA	NA
ALDOA	0.003960486	NA	NA	NA
ALDOC	0.025701151	NA	NA	NA
ALG11	NA	0.001703948	NA	NA
ALKBH7	NA	0.007627632	NA	NA
ALKBH8	0.00396556	NA	NA	NA
ALMS1	0.002966571	0.076909242	NA	NA
ALYREF	0.025915202	NA	NA	NA
ANGPTL2	0.030100741	NA	NA	NA
ANKIB1	0.000331066	NA	0.002494632	0.005823071
ANKRD12	0.002276196	NA	NA	NA
ANKRD13D	0.009834349	NA	0.042692944	NA
ANKRD17	0.00366667	NA	0.010085535	0.019804705
ANKRD26	0.001196628	0.037969487	NA	NA
ANKRD33B	NA	0.027902707	NA	NA
ANKRD36	1.71E-06	0.018002421	0.000853007	0.001234656
ANKRD36B	1.08E-06	0.018002421	0.001095236	0.001428434
ANKRD36C	0.030487222	NA	NA	NA
ANTXR1	0.005878707	NA	NA	NA
ANXA2P2	NA	0.032799675	NA	NA
AP1B1	0.026572479	NA	NA	NA
AP2S1	0.017264203	NA	NA	NA
AP3S2	6.16E-07	NA	NA	0.014564728
AP4E1	0.015560244	NA	NA	NA
APC	2.38E-09	0.030166149	0.001076164	0.001872394
APLF	0.015316446	NA	NA	NA
APLP2	0.005596256	NA	NA	NA
APOB	0.014130244	NA	NA	NA
APOBEC3B	NA	0.007024658	NA	NA
APOBEC3C	0.035629413	NA	NA	NA
APPL1	0.000855637	NA	NA	NA
APTR	NA	0.09447874	NA	NA
ARAP2	0.025130412	NA	NA	NA
ARF3	0.000500683	NA	0.00404846	0.015840602
ARF5	0.016458905	NA	NA	NA
ARFGAP1	0.036037508	NA	NA	NA
ARFGAP2	1.29E-05	NA	0.001188282	0.005636041
ARFGEF1	0.015560244	NA	NA	NA
ARFGEF2	0.00503948	NA	NA	NA
ARHGAP1	0.043736492	NA	NA	NA
ARHGAP12	0.000922763	NA	NA	NA
ARHGAP5	0.000202752	NA	0.003562811	0.005632207
ARID2	0.000316151	NA	0.001589723	0.003287803
ARID4A	0.000272623	NA	0.008185087	0.014604465
ARID4B	0.000153132	NA	0.018070409	0.030198534
ARIH2OS	NA	0.020941333	NA	NA
ARNTL2	0.013665488	NA	0.018481317	0.035100768
ARPC5L	0.025300163	NA	NA	NA
ARRDC1-AS1	NA	0.009338189	NA	NA
ASB16-AS1	NA	0.024162898	NA	NA
ASCC3	0.001196628	NA	NA	NA
ASH1L	0.001811145	NA	0.021953915	0.03882104
ASMTL	NA	0.01248257	NA	NA
ASNA1	0.012839312	NA	NA	NA
ASPM	NA	0.002253564	NA	NA
ATAD2B	1.08E-06	NA	0.000605788	0.001628765
ATAD5	0.011859882	NA	NA	NA
ATE1	0.046784981	NA	NA	NA
ATF6B	0.026321929	NA	NA	NA
ATG2B	0.006838243	NA	0.022959517	0.047107629
ATG4B	0.002665299	NA	NA	NA
ATG4C	0.042615873	NA	NA	NA
ATIC	0.005509148	NA	NA	NA
ATM	0.011707666	0.063168187	NA	NA
ATMIN	0.009842132	NA	0.036192169	NA
ATP11B	0.000461673	NA	0.005222231	0.010543555
ATP11C	9.64E-06	NA	0.011452374	0.017879375
ATP1A2	0.012959454	NA	NA	NA
ATP1B2	0.014227212	NA	NA	NA
ATP2B1	0.001951256	NA	NA	NA
ATP4A	0.020631865	NA	NA	NA
ATP5B	0.034089044	NA	NA	NA
ATP5C1	0.049021848	NA	NA	NA
ATP5E	0.006635947	0.000743708	NA	NA
ATP5G3	0.013467909	NA	NA	NA
ATP5L2	0.00482801	NA	NA	NA
ATP6V1B2	0.001951256	NA	0.042571841	NA
ATP8A1	0.012975685	NA	NA	NA
ATR	3.26E-05	0.056940946	0.003522733	0.005260051
ATRX	1.74E-05	NA	0.021401891	0.034994814
ATXN7L3B	0.01126452	0.077704633	NA	NA
AZIN1	0.007019008	NA	0.043979083	NA
B3GALNT2	0.028378115	NA	NA	NA
BAG3	0.020296975	NA	NA	NA
BANF1	0.005102793	NA	NA	NA
BAZ1A	0.040401247	NA	NA	NA
BAZ2B	0.017218805	NA	NA	NA
BBX	1.26E-07	NA	0.001212633	0.003715445
BCAS2	NA	0.026057108	NA	NA
BCAT2	0.00993854	NA	NA	NA
BCL2L13	0.02387804	NA	NA	NA
BCL2L2	NA	0.000112788	NA	NA
BCLAF1	0.000131924	NA	0.018070409	0.027806869
BDP1	4.86E-08	NA	0.000828352	0.001747074
BET1L	0.004412765	NA	0.018070409	NA
BIRC3	0.001633996	NA	0.002947012	0.008345263
BIRC6	0.045767299	0.056190368	NA	NA
BISPR	NA	0.001517221	NA	NA
BLVRA	0.039594582	NA	NA	NA
BMF	NA	0.08019176	NA	NA
BMP1	0.020701319	NA	NA	NA
BMS1P20	NA	0.005128635	NA	NA
BMS1P4	NA	0.069892742	NA	NA
BOD1L1	0.004812425	0.076342985	NA	NA
BOLA3	NA	0.036882344	NA	NA
BPTF	0.002508846	0.041815014	0.043926489	NA
BRCA2	0.036968463	0.045487684	NA	NA
BRCC3	0.002194138	NA	0.017067045	0.022203651
BRK1	0.002665299	NA	0.018070409	0.047289862
BRWD1	6.01E-07	NA	0.004105832	0.007985214
BRWD3	3.33E-07	NA	4.96E-05	0.000207356
BSCL2	NA	4.56E-05	NA	NA
BSG	0.013440296	NA	NA	NA
BTAF1	0.000385682	NA	0.015788256	0.027806869
BTBD7	0.006101884	NA	0.024468259	0.041531313
BTN2A3P	NA	0.061599226	NA	NA
BYSL	0.011892462	NA	NA	NA
BZRAP1-AS1	NA	0.002043537	NA	NA
C11orf30	0.023630319	NA	NA	NA
C12orf76	NA	0.067487563	NA	NA
C14orf1	0.001203295	NA	0.028838444	0.04908563
C15orf61	NA	0.001517221	NA	NA
C18orf54	0.026654049	NA	NA	NA
C19orf48	0.037987012	NA	NA	NA
C1GALT1	0.011989812	NA	NA	NA
C1orf220	NA	0.008608528	NA	NA
C1orf27	0.004141652	NA	0.032542956	0.046524994
C1RL-AS1	NA	0.001517221	NA	NA
C2CD5	0.001124298	NA	0.045005215	NA
C2orf69	0.012327792	NA	0.03740656	NA
C20orf24	NA	0.002615292	NA	NA
C22orf34	NA	0.010449009	NA	NA
C5	0.009543798	NA	NA	NA
C5orf42	0.005260136	0.017817537	0.041810965	NA
C5orf56	NA	0.004490508	NA	NA
C6orf106	0.016564678	NA	NA	NA
C6orf223	NA	0.048091951	NA	NA
C6orf48	0.013579719	NA	0.00703068	0.016347367
C6orf62	2.28E-05	NA	4.64E-05	0.000220897
C8orf33	0.023626655	NA	NA	NA
C8orf44	0.004814462	0.043909701	NA	0.004725755
CACUL1	0.040557578	NA	NA	NA
CALM3	0.012185075	NA	NA	NA
CALR	0.00039389	NA	0.021884498	NA
CAMK2A	1.26E-07	NA	NA	0.047289862
CAPN10-AS1	NA	0.019031679	NA	NA
CAPN6	0.026321929	NA	NA	NA
CAPN7	0.007819144	NA	NA	NA
CAPRIN2	0.008168789	NA	0.002947012	0.005260051
CAPZB	1.13E-05	NA	0.006590386	0.02495545
CARD8-AS1	NA	0.00563186	NA	NA
CARF	0.000839056	NA	0.004671374	0.006292554
CASC4	0.03046815	NA	NA	NA
CASC5	NA	0.042403869	NA	NA
CASKIN1	4.63E-05	NA	NA	NA
CASP8AP2	0.000575901	0.016529698	0.042957009	NA
CBWD3	NA	0.031342158	NA	NA
CBWD5	NA	0.001517221	NA	NA
CBWD6	0.012400531	0.001837733	NA	0.013484391
CCAR1	0.031295019	NA	NA	NA
CCAR2	0.027975387	NA	NA	NA
CCDC107	NA	0.000204571	NA	NA
CCDC12	0.043621798	NA	NA	NA
CCDC127	0.047151126	NA	NA	NA
CCDC134	0.000125647	NA	0.034335469	0.048174213
CCDC14	0.00640461	NA	NA	NA
CCDC146	0.022989466	NA	NA	NA
CCDC163P	NA	0.029267005	NA	NA
CCDC167	0.044055353	NA	NA	NA
CCDC186	0.030058012	0.051484377	NA	NA
CCDC51	0.036194828	NA	NA	NA
CCDC66	0.020470664	NA	NA	NA
CCDC82	0.004164089	NA	NA	NA
CCDC88A	0.000189512	NA	0.022617641	0.036594647
CCDC91	0.045340853	NA	NA	NA
CCNC	0.029927065	NA	NA	NA
CCNJ	0.001217272	NA	0.002166206	0.003801457
CCNL1	0.004362766	NA	0.012252613	0.023658992
CCNT2	4.61E-07	NA	1.02E-05	4.47E-05
CCNY	0.04458582	NA	NA	NA
CCP110	0.00133311	NA	NA	NA
CCPG1	NA	1.62E-05	NA	NA
CCSER2	0.000603886	NA	0.007139117	0.013034731
CCT6P1	NA	0.019788411	NA	NA
CCT6P3	NA	0.081991334	NA	NA
CCT7	0.019853684	NA	NA	NA
CD1B	0.01290812	NA	NA	NA
CD2AP	0.000118024	NA	0.040141384	NA
CD27-AS1	NA	0.038996679	NA	NA
CD3EAP	NA	0.000239524	NA	NA
CD83	0.016039118	NA	NA	NA
CDC40	0.008191649	NA	NA	NA
CDC42SE1	0.034300007	0.077631192	NA	NA
CDK16	0.013349421	NA	NA	NA
CDK5	5.09E-05	NA	NA	NA
CDK5RAP1	0.000120335	NA	0.00103399	0.005632207
CDR2L	0.008168789	NA	NA	NA
CEBPZ	2.52E-05	0.048991748	0.002559379	0.004044757
CEBPZOS	NA	0.002043537	NA	NA
CELF1	0.020684748	NA	NA	NA
CENPBD1P1	NA	0.000429887	NA	NA
CENPC	0.008858461	0.057768771	NA	NA
CENPE	NA	0.00878958	NA	NA
CENPF	NA	0.014333341	NA	NA
CEP120	1.14E-06	0.048095478	0.019724784	0.030705142
CEP152	0.031222895	0.021068011	NA	NA
CEP162	0.000310288	0.004990676	0.020171086	0.02566173
CEP170	0.045416195	NA	NA	NA
CEP192	0.00233477	NA	0.046975693	NA
CEP290	0.000553756	0.083432119	NA	NA
CEP295	4.93E-11	0.042403869	0.000295172	0.000672938
CEP350	0.004391113	0.058642019	NA	NA
CEP57	0.034346577	NA	NA	NA
CEP63	0.009181252	NA	0.043926489	NA
CEP70	0.049398072	NA	NA	NA
CEP83	0.021933525	NA	NA	NA
CEP85L	0.03978723	NA	NA	NA
CEP95	0.008400847	NA	NA	NA
CEP97	0.026939758	NA	NA	NA
CES2	0.029568352	NA	0.026987203	0.036703082
CFAP44	0.000795863	NA	NA	0.020776012
CFAP97	0.02497135	NA	NA	NA
CFL1	0.002837251	NA	NA	NA
CHCHD1	0.032349379	NA	NA	NA
CHCHD2	1.14E-06	NA	0.004328332	0.017879375
CHCHD3	0.000955637	NA	NA	NA
CHD1	0.000163088	0.044685938	0.009930602	0.017308958
CHD9	2.51E-07	0.00725549	0.01019204	0.016798823
CHM	0.002846178	NA	NA	NA
CHML	0.019669093	NA	NA	NA
CHMP1A	0.026947557	NA	NA	NA
CHMP2A	0.025130846	NA	NA	NA
CIAPIN1	0.003432856	NA	0.021206276	0.048174213
CIDEB	0.000425567	NA	0.021806766	0.02495545
CIDECP	NA	0.051676019	NA	NA
CIR1	0.002521627	NA	0.014652721	0.02495545
CKAP2	NA	0.07467392	NA	NA
CKAP2L	NA	0.010257401	NA	NA
CLCN3	0.003248127	NA	0.017781237	0.032809889
CLIC1	0.020657325	NA	NA	NA
CLIP1	0.006752965	NA	NA	NA
CLK4	0.020209415	NA	NA	NA
CLOCK	5.38E-05	NA	0.000219803	0.00077159
CLP1	0.005401501	NA	NA	NA
CLPB	0.019123315	NA	NA	NA
CLTA	3.04E-05	NA	0.014481827	0.036703082
CLUHP3	NA	0.000217684	NA	NA
CMAHP	NA	0.014074471	NA	NA
CMPK1	0.047206063	NA	NA	NA
CMTR1	0.030487222	NA	NA	NA
CNDP2	0.00121233	NA	0.045005215	NA
CNOT6	0.00331046	NA	0.028751991	0.048174213
CNOT6L	0.006635947	NA	NA	NA
CNST	0.049685073	NA	NA	NA
CNTRL	3.03E-08	0.09447874	0.003694242	0.005720782
COG2	0.004359095	NA	NA	NA
COL1A2	1.08E-08	NA	NA	NA
COL4A1	0.000954067	NA	NA	NA
COLCA1	0.019087178	NA	NA	NA
COMMD9	0.001876986	NA	NA	NA
COPA	0.019745927	NA	NA	NA
COPG1	0.01170222	NA	NA	NA
COPS2	0.037348968	NA	NA	NA
COPZ1	0.00516435	NA	0.030342938	NA
CORO7	NA	0.005753801	NA	NA
COX20	0.013366899	9.59E-05	NA	NA
COX5A	0.011090731	NA	NA	NA
COX5B	1.4E-05	NA	0.001643793	0.00573316
COX6B1	0.036194828	NA	NA	NA
COX8A	0.000579229	NA	0.020264643	0.047720799
CPE	2.29E-05	NA	0.048396467	NA
CRCP	0.007388766	NA	NA	NA
